Ticker,EBIT,Tangible Capital,ROTC,EV,Earnings Yield,ROTC %,Earnings Yield %,Rank_ROTC,Rank_EY,Magic_Rank
RCH.L,71000000.0,128300000.0,0.5533904910366328,241023104.0,0.29457756879606034,55.339049103663285,29.457756879606034,1.0,3.0,1.0
PHAR.L,64000000.0,279300000.0,0.22914428929466524,67957352.0,0.9417671247696644,22.914428929466524,94.17671247696644,5.0,1.0,2.0
TLW.L,664100000.0,2474000000.0,0.26843168957154406,2325015696.0,0.28563248030648997,26.843168957154408,28.563248030648996,3.0,4.0,3.0
ENQ.L,298983000.0,2135617000.0,0.13999841731921034,971523824.0,0.30774644184124506,13.999841731921034,30.774644184124504,7.0,2.0,4.0
FOXT.L,20362000.0,41386000.0,0.4920021263229111,222890352.0,0.09135433551650544,49.20021263229111,9.135433551650545,2.0,9.0,5.0
IOF.L,5065000.0,26362000.0,0.19213261512783553,44886960.0,0.11283900714149499,19.213261512783554,11.2839007141495,6.0,7.0,6.0
ING.L,1827000.0,-3498000.0,-0.5222984562607204,7553850.0,0.2418634206398062,-52.229845626072034,24.18634206398062,9.0,5.0,7.0
HSD.L,-12800000.0,-48700000.0,0.26283367556468173,16044272.0,-0.7977925081300042,26.283367556468175,-79.77925081300043,4.0,11.0,8.0
PEBB.L,8623000.0,-9336000.0,-0.9236289631533847,62458928.0,0.13805872556762422,-92.36289631533847,13.805872556762422,10.0,6.0,9.0
NBB.L,-102000.0,385000.0,-0.2649350649350649,5030101.0,-0.02027792284886526,-26.49350649350649,-2.0277922848865257,8.0,10.0,10.0
REC.L,11104000.0,-2644000.0,-4.199697428139183,103089504.0,0.10771222645517821,-419.96974281391834,10.77122264551782,11.0,8.0,11.0
